TYPE-1,FAMILY,ID,TYPE-2,COLOR,CAUNTRY,L,W,H,SINGLE,LIFT-1,LIFT-2,EDGE-H-RIGHT,EDGE-H-LEFT,H-GROOVE,H-CALIBRATION,H-ROTATION,EDGE-V-RIGHT,EDGE-V-LEFT,V-GROOVE,V-CALIBRATION,V-ROTATION,R15,R70,RXX,DRILL-1-0000,DRILL-1-0016,DRILL-1-0712,DRILL-1-1318,DRILL-1-1924,DRILL-2-0000,DRILL-2-0016,DRILL-2-0712,DRILL-2-1318,DRILL-2-1924,HOLES,SPLITTER-1,ADITIONAL_TABLE,DRILL-EDGE-1,DRILL-EDGE-2,PLATES,ADITIONAL-HEAD,RIBBING,SPLITTER-2,GROUP-0,GROUP-1,GROUP-2,HEAD-X-1-0016,HEAD-X-1-0712,HEAD-X-1-1318,HEAD-X-1-1924,HEAD-X-2-0016,HEAD-X-2-0712,HEAD-X-2-1318,HEAD-X-2-1924,HEAD-Y-1-0016,HEAD-Y-1-0712,HEAD-Y-1-1318,HEAD-Y-1-1924,HEAD-Y-2-0016,HEAD-Y-2-0712,HEAD-Y-2-1318,HEAD-Y-2-1924,HEAD-1,HEAD-2,DRIL-1-PUT-UP,DRIL-2-PUT-UP,DRIL-1-SET-UP,DRIL-2-SET-UP,LIFT-1-SPEED,LIFT-1-TACT,EDGE-H-SPPED,EDGE-H-TACT,ROTATION-1-IN-SPEED,ROTATION-1-OUT-SPEED,EDGE-V-SPPED,EDGE-V-TACT,FIST,ROTATION-2-IN-SPEED,ROTATION-2-OUT-SPEED
1,SO,S735SOB1101KCHE,K,CH,E,529,375,16,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,7,0,0,1,5,0,0,0,23,1,0,4,8,0,0,3,0,0,1,8,0,130,0,0,110,0,0,0,0,480,0,0,360,0,0,0,7,5,3,4,9,8,18,14,18,14,18,18,18,18,2,18,18
1,SO,S735SOB1101KWHE,K,WH,E,529,375,16,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,7,0,0,1,5,0,0,0,23,1,0,4,8,0,0,3,0,0,1,8,0,130,0,0,110,0,0,0,0,480,0,0,360,0,0,0,7,5,3,4,9,8,18,14,18,14,18,18,18,18,2,18,18
1,SO,S735SOB1101DCHE,D,CH,E,529,375,16,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,7,0,0,1,5,0,0,0,23,1,0,4,8,0,0,3,0,0,1,8,0,130,0,0,110,0,0,0,0,480,0,0,360,0,0,0,7,5,3,4,9,8,18,14,18,14,18,18,18,18,2,18,18
1,SO,S735SOB1101DWHE,D,WH,E,529,375,16,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,7,0,0,1,5,0,0,0,23,1,0,4,8,0,0,3,0,0,1,8,0,130,0,0,110,0,0,0,0,480,0,0,360,0,0,0,7,5,3,4,9,8,18,14,18,14,18,18,18,18,2,18,18
3,KP,S735KPB1301UBLA,U,BL,A,800,369,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,24,1,0,8,8,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,180,0,0,0,180,0,0,0,0,0,3.5,3.5,5,5,18,14,18,14,18,15,15,14,2,15,23
3,KP,S735KPB1301UWHA,U,WH,A,800,369,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,24,1,0,8,8,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,180,0,0,0,180,0,0,0,0,0,3.5,3.5,5,5,18,14,18,14,18,15,15,14,2,15,23
3,KP,S735KPB1301UBLE,U,BL,E,800,369,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,24,1,0,8,8,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,180,0,0,0,180,0,0,0,0,0,3.5,3.5,5,5,24,20,24,20,24,24,0,0,4,0,0
3,KP,S735KPB1301UWHE,U,WH,E,800,369,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,24,1,0,8,8,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,180,0,0,0,180,0,0,0,0,0,3.5,3.5,5,5,24,20,24,20,24,24,0,0,4,0,0
7,KP,S735KPB1702UBLA,U,BL,A,800,334,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,16,1,0,0,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,1.5,3,5,3,23,12,23,12,23,18,18,12,3,18,23
7,KP,S735KPB1702UWHA,U,WH,A,800,334,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,16,1,0,0,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,1.5,3,5,3,23,12,23,12,23,18,18,12,3,18,23
7,KP,S735KPB1702UBLE,U,BL,E,800,334,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,16,1,0,0,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,1.5,3,5,3,23,12,23,12,23,18,18,12,3,18,23
7,KP,S735KPB1702UWHE,U,WH,E,800,334,18,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,16,1,0,0,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,1.5,3,5,3,23,12,23,12,23,18,18,12,3,18,23
1,SO,S735SOB1102UCHE,U,CH,E,2002,180,22,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,7,0,0,1,4,0,0,0,34,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,28,12,28,12,28,16,16,12,3,16,35
1,SO,S735SOB1102UWHE,U,WH,E,2002,180,22,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,7,0,0,1,4,0,0,0,34,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,28,12,28,12,28,16,16,12,3,16,35
1,BR,S735BRB1122UOAA,U,OA,A,566,258,16,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,1,4,0,0,0,40,0,1,4,8,0,0,2,0,0,2,4,110,0,0,0,100,0,0,0,360,0,0,0,300,0,0,0,5,4,3,3.5,7,7,17,16,17,16,17,16,16,16,2,20,20
1,BR,S735BRB1122UWHA,U,WH,A,566,258,16,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,1,4,0,0,0,40,0,1,4,8,0,0,2,0,0,2,4,110,0,0,0,100,0,0,0,360,0,0,0,300,0,0,0,5,4,3,3.5,7,7,17,16,17,16,17,16,16,16,2,20,20
1,BR,S735BRB1122UCHE,U,CH,E,566,258,16,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,1,4,0,0,0,40,0,1,4,8,0,0,2,0,0,2,4,110,0,0,0,100,0,0,0,360,0,0,0,300,0,0,0,5,4,3,3.5,7,7,17,16,17,16,17,16,16,16,2,20,20
1,BR,S735BRB1122UOAE,U,OA,E,566,258,16,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,1,4,0,0,0,40,0,1,4,8,0,0,2,0,0,2,4,110,0,0,0,100,0,0,0,360,0,0,0,300,0,0,0,5,4,3,3.5,7,7,17,16,17,16,17,16,16,16,2,20,20
1,BR,S735BRB1122UWHE,U,WH,E,566,258,16,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,1,4,0,0,0,40,0,1,4,8,0,0,2,0,0,2,4,110,0,0,0,100,0,0,0,360,0,0,0,300,0,0,0,5,4,3,3.5,7,7,17,16,17,16,17,16,16,16,2,20,20
1,KP,S735KPB1104KBLA,K,BL,A,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104KWHA,K,WH,A,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104KBLE,K,BL,E,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104KWHE,K,WH,E,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104DBLA,D,BL,A,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104DWHA,D,WH,A,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
1,KP,S735KPB1104DBLE,D,BL,E,688,374,15,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,7,0,0,1,4,0,0,0,35,0,1,4,10,0,0,2,0,0,2,4,0,130,0,0,100,0,0,0,0,480,0,0,300,0,0,0,7,4,3,4,9,7.5,21.3,18,21.3,18,21.3,18,18,18,2,18,25
