DC Pavadinimas,Prastovos gr.,Prastovos kodas,Prastovos pavadinimas,Komentaras,Laikas (min.),Viso laikas DC,Proc. %,YYYY
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),,1971,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),2 br st kumsteliu gedimas,19,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Briaunavimo strigimas,11,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Briaunos reguliavimas,5,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Briaunos strigimas,7,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),buvo uzstriges kompas,58,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),detaliu strigimas grezime,7,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Dirzu valymas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Grastu keitimas,5,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),grezime braize detale,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),grezime uzstrigo detale,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Grezimo koregavimas,4,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),grezimo reguliavimas,3,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Grezimo strigimas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Griovelio koregavimas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Kokybe neatitinka kokybes standartui,9,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Nera nauju breziniu iro 116 D,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),NEVAIKSTO VIENA KOBRA,15,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),neveike operlaitas,21,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Nukrovimo liftas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),nukrovimo lifto strigimas,9,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),pakrovimo liftas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),Pakrovimo lifto strigimas,9,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),pakrovimo lifto strigimas,19,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),pastrigo briauna,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),strigimas grezime,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),stringa grezimas,2,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),"Terlioja detale, dirzu valymas",5,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),transporterio dirzu keitimas grezime,3,175810,1.25%,2015
Linija Homag_4,49,491,NENUSTATYTA (MICRO STOP),uzstrigo briaunavimas,2,175810,1.25%,2015
Linija Homag_4,21,2101,NERA GAMYBOS UZDUOTIES,,5135,175810,2.92%,2015
Linija Homag_4,32,3201,MAZESNIS GREITIS DEL IRENGIMO,,43251,175810,24.65%,2015
Linija Homag_4,32,3201,MAZESNIS GREITIS DEL IRENGIMO,broko perleidimas,21,175810,24.65%,2015
Linija Homag_4,32,3201,MAZESNIS GREITIS DEL IRENGIMO,gr koregavimas,2,175810,24.65%,2015
Linija Homag_4,32,3201,MAZESNIS GREITIS DEL IRENGIMO,"mazesnis greitis del kokybes is grezimo,nes terlioja dirzai detales apacia",63,175810,24.65%,2015
Linija Homag_4,99,999,Default Error Code,,284,175810,0.20%,2015
Linija Homag_4,99,999,Default Error Code,uzstriges kompas,76,175810,0.20%,2015
Linija Homag_4,RU,RUN,-,,54438,175810,30.96%,2015
Linija Homag_4,43,4301,SUSIRINKIMAS,,763,175810,0.46%,2015
Linija Homag_4,43,4301,SUSIRINKIMAS,Kaledinis susirinkimas,38,175810,0.46%,2015
Linija Homag_4,47,4701,ZALIAVU TRUKUMAS,,274,175810,0.17%,2015
Linija Homag_4,47,4701,ZALIAVU TRUKUMAS,"Netvarkingai sudetos kobru uztrumpinimo kaladeles, viena imesta  tarp laidu viksru, uztrukom kol suradom.",26,175810,0.17%,2015
Linija Homag_4,47,4702,ZALIAVA NETINKAMA GAMYBAI,,187,175810,0.11%,2015
Linija Homag_4,47,4702,ZALIAVA NETINKAMA GAMYBAI,kokybe,9,175810,0.11%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,,1466,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,2 suporto y2 grezimo galvos tiesinimas,33,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,ant detaliu imusimai nuo apvilkimo,13,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Braizo briauna. KOKYBE,13,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Braizo briauna. Kokybe,19,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,braizo detales briauna,7,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,"Briaunos reguliavimas,netolygiai nufrezuoja briauna",91,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,briaunu reguliavimas,3,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Broko tvarkymas,2,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Broko tvarkymas. Perbriaunuojama,36,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,gr.st sonine linijuote imusdavo i detale,29,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,gr.st. dirzu valymas,8,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Grezime pastumia detale ir pabega visi matmenys,45,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Grezime pastumia detale. Ko pasekoje pabega matmenys,41,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,horizontaliu galvu lyginimas,23,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,ibrezimai,19,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,ieitine kontrole ( tiekejo brokas),11,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Imusineja detale.Kokybe,21,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,ispjauti blogais matmenimis,5,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,"Kokybe, neapvalina kampa",146,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,"kokybe,netolygiai frezuoja briauna",11,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Kokybe. Braizo briauna,19,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,KOKYBE. Imusineja briauna,8,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Kokybe. Imusineja detales apacia,13,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Kokybe. Lauzia detales sona,23,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Kokybe. Terlioja detales virsu,13,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,linijuociu valymas isteplioja klijais,5,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,mecaninei pazeidimai b pavirsiuje po wrapingo,7,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Netolygiai padaromas griovelis,11,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Pabega matmenys grezime,9,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Pakildama spec.gr.galva pazeidzia detale,47,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,"R7 profilio reguliavimas,nei vienas kampas nesiapvalino",270,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Rusuojamos detales pries pakrovimo lifta,44,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,skyliu koregavimas,11,175810,1.42%,2015
Linija Homag_4,47,4703,RUOSINIAI NETINKAMI GAMYBAI,Terlioja detales virsu. Kokybe,7,175810,1.42%,2015
Linija Homag_4,47,4704,RUOSINIU TRUKUMAS,,19,175810,0.01%,2015
Linija Homag_4,47,4705,DETALIU VALYMAS,,5,175810,0.00%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,,1557,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,1 gr. st horizontaliu galvu lyginimas,27,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Atsilupes karsiratas,4,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,"Atsilupes karsiratas, sustojo pakrovimo liftas",6,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Atsilupes kasirata,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Begioja matmenys 2-ose gr.st. ant 1mm,24,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,blogai greze kobra pazeide detale,11,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Braizo briaunos virsu,17,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,braizo detales apacia,6,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Briaunavimo operacijos metu pazeidziama detale,21,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,briaunos reguliavimas,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,"Briaunos reguliavimas,netolygiai nufrezuoja briauna",23,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,dare ispaudus briaunoje,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,frezos daro ispaudus,63,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,grezime raizo briaunas,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Horizantaliu galvu lyginimas,7,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Horizontaliu galvu tiesinimas,101,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,igreztas nulinis lauze detale slifavom,17,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Imusa detale,9,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,IMUSIMAI,6,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,imusinejo kampus,15,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Irezia briauna,6,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,iro406/iro115 horizontaliu galvu tiesinimasas,137,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Ispaudimas briaunoje,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Kampu apvalinimo sutrikimas,27,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,keite groteles grezimo galvas drasko skyles,21,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,kele briauna,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Kelia skyles grezime,19,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,kliju likuciai,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,kliju likuciai po briaunavimo,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,KOKYBE. Horizantalaus grezimo skyles per gilios ant 2+ mm,21,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Kreivai stovi gr.galvos. Suportu galvos laikikliu tiesinimas,49,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,lauze detales krasta,7,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Lauzia detales kampuka gr.st.,21,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,neapvalino triju kampu,47,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,nekokybiskai apdirbama briauna,354,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,nera desinines detales atzymas,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Netolygiai padaromas griovelis,80,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Pabego spec.gr.galvos matmuo,17,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Padaro ispaudima br.st.,3,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,pazeidzia detale grezime,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Pazeidzia detales kampuka 2-ose br.st.,5,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,pertrumpos detales,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Pertrumpos detales po pjovimo,3,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,printeris tepliojo detales,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,R7 frezos reguliavimas raizo detale,41,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,R7 reguliavimas,11,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Raize briaunas,12,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,raize briaunas,7,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,skylutes prie briaunos,2,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Soninio spaudimo ploksteles braize briauna,11,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Soniniu groteliou idejimas,12,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,soniniu ploksteliu keitimas,12,175810,1.65%,2015
Linija Homag_4,47,4706,DETALES NETINKAMOS KOKYBES,Soniniu ploksteliu keitimas i tekstolitines + groteliu isemimas,36,175810,1.65%,2015
