,WorkCenter,ProductAGR,ProductName,NPC,Parts,Path,Width,Length,LiftPushSpeed,LiftRegularSpeed,RT1EntranceSpeed,RT1ExitSpeed,RT2EntranceSpeed,RT2ExitSpeed,EM1PushSpeed,EM1PushCycle,EM2PushSpeed,EM2PushCycle,Position,Product,BR
0,12010,BR3-IKX203,Virðus,12.0,1,1,1718.0,440.0,27,12,27,18,18,27,27,12,18,12,3,BR3-IKW203,BR3
1,12010,BR3-IRX120-K,Kairinis ðonas,12.0,1,2,566.0,423.0,18,13,18,20,20,13,18,13,20,13,3,BR3-IRW120-K,BR3
2,12010,BR3-ITX101-K,Kairinis ðonas,14.0,2,2,796.0,248.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW101-K,BR3
3,12010,BR3-ITX302,Dugnas,13.0,2,2,1037.0,295.0,21,14,21,21,21,21,21,14,21,14,3,BR3-ITW302,BR3
4,12010,BR3-ITX301,Dugnas,14.0,2,2,686.0,295.0,24,18,22,27,25,32,22,18,27,18,3,BR3-ITW301,BR3
5,12010,BR3-ITX104,Pertvara,13.0,2,2,1092.0,295.0,18,10,18,18,18,18,18,10,18,18,2,BR3-ITW104,BR3
6,12010,BR3-ITX102,Pertvara,14.0,2,2,741.0,295.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW102,BR3
7,12010,BR3-ITX202,Virðus,13.0,2,1,1157.0,345.0,22,13,22,22,22,22,22,13,22,13,3,BR3-ITW202,BR3
8,12010,BR3-ITX103-K,Kairinis ðonas,9.0,1,1,1147.0,248.0,18,10,18,18,18,18,18,10,18,18,2,BR3-ITW103-K,BR3
9,12010,BR2-IKX902,Stalèiaus priekis,19.5,1,1,794.0,206.0,27,21,27,21,21,30,27,21,21,21,2,BR2-IKW902,BR2
10,12010,BR3-IKX204,Virðus,12.0,1,1,900.0,460.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW204,BR3
11,12010,BR3-IKX202,Virðus,12.0,1,1,900.0,440.0,23,12,23,18,18,23,23,12,18,12,3,BR3-IKW202,BR3
12,12010,BR2-IKX105,Pertvara,17.0,1,1,427.0,670.0,21,18,21,27,21,30,27,21,21,21,2,BR2-IKW105,BR2
13,12010,BR2-IKX903,Maþas stalèiaus priekis,19.5,2,1,794.0,210.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW903,BR2
14,12010,BR2-IRX122,Universalus ðonas,14.0,1,1,566.0,258.0,22,20,22,21,21,21,22,21,21,21,2,BR2-IRW122,BR2
15,12010,BR3-IRX313,Dugnas,14.0,1,1,240.0,305.0,15,15,18,18,18,18,18,15,18,15,3,BR3-IRW313,BR3
16,12010,BR3-IRX215,Virðus,10.0,1,1,1200.0,730.0,15,10,18,18,18,18,18,10,18,10,4,BR3-IRW215,BR3
17,12010,BR3-IRX706,Prilaikymo juosta,18.0,2,2,544.0,159.0,21,18,21,21,20,20,20,20,21,20,2,BR3-IRW706,BR3
18,12010,BR3-IRX901,Durys,18.0,1,1,460.0,320.0,11,14,11,18,12,18,19,12,18,12,2,BR3-IRW901,BR3
19,12010,BR3-ITX201,Virðus,12.0,2,1,806.0,345.0,18,12,18,18,18,18,18,12,18,12,3,BR3-ITW201,BR3
20,12010,BR3-IKX103-D-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-D-A,BR3
21,12010,BR3-ITX106-K,Kairinis ðonas,16.0,1,1,520.0,378.0,24,16,24,24,24,24,24,16,24,24,3,BR3-ITW106-K,BR3
22,12010,BR3-ITX105-K,Kairinis ðonas,14.0,1,1,970.0,247.0,21,14,21,21,21,3,21,14,21,14,3,BR3-ITW105-K,BR3
23,12010,BR3-ITX105-D,Deðininis ðonas,14.0,1,1,970.0,247.0,21,14,21,21,21,3,21,14,21,14,3,BR3-ITW105-D,BR3
24,12010,BR3-ITX303,Dugnas,11.0,1,2,408.5,1710.0,25,11,25,25,25,25,25,11,25,11,3,BR3-ITW303,BR3
25,12010,BR3-ITX204,Virðus,9.0,1,1,1830.0,475.0,26,11,26,26,26,26,26,0,26,11,3,BR3-ITW204,BR3
26,12010,BR3-ITX203,Virðus,11.0,2,1,1830.0,328.0,26,11,26,26,26,26,26,11,26,11,3,BR3-ITW203,BR3
27,12010,BR2-IKX903-1,Maþas stalèiaus priekis dvigubos,18.0,1,1,794.0,206.0,27,21,27,21,21,27,27,21,21,18,2,BR2-IKW903-1,BR2
28,12010,BR3-ITX101-D,Deðininis ðonas,14.0,2,2,796.0,248.0,18,14,18,18,18,18,18,14,18,18,2,BR3-ITW101-D,BR3
29,12010,BR3-IKX103-K-A,Ðonas,17.0,1,1,374.0,1002.0,21,18,27,27,27,27,27,12,27,21,3,BR3-IKW103-K-A,BR3
