,Method,Model,Min. cluster size,Max. cluster size,Clusters,Silhouette Coefficient
0,KMeans,{'n_clusters': 10},8,55,10,0.4098150183805426
1,KMeans,{'n_clusters': 11},10,55,11,0.44186686506007256
2,KMeans,{'n_clusters': 12},11,55,12,0.4565125743911773
3,KMeans,{'n_clusters': 13},10,50,13,0.47921157503400597
4,KMeans,{'n_clusters': 14},8,55,14,0.5034710445945942
5,KMeans,{'n_clusters': 15},6,49,15,0.5251000620660606
6,KMeans,{'n_clusters': 16},8,55,16,0.5488149855791139
7,KMeans,{'n_clusters': 17},6,49,17,0.5724544613733544
8,KMeans,{'n_clusters': 18},5,49,18,0.5931859295225232
9,KMeans,{'n_clusters': 19},5,49,19,0.6150608761643286
10,KMeans,{'n_clusters': 20},5,44,20,0.640052325975195
11,KMeans,{'n_clusters': 21},4,44,21,0.6573188592936017
12,KMeans,{'n_clusters': 22},4,44,22,0.6688704140460378
13,KMeans,{'n_clusters': 23},4,40,23,0.695000846655317
14,KMeans,{'n_clusters': 24},4,40,24,0.7191939316973505
15,KMeans,{'n_clusters': 25},4,40,25,0.7356369998933476
16,KMeans,{'n_clusters': 26},4,40,26,0.7507903789923075
17,KMeans,{'n_clusters': 27},4,40,27,0.7653511179853559
18,KMeans,{'n_clusters': 28},4,40,28,0.7815914372989664
19,KMeans,{'n_clusters': 29},4,40,29,0.796305894295798
20,KMeans,{'n_clusters': 30},4,40,30,0.8122788769165918
21,Hierarchical - ward,"{'n_clusters': 10, 'linkage': 'ward'}",11,45,10,0.43100267516066176
22,Hierarchical - complete,"{'n_clusters': 10, 'linkage': 'complete'}",4,70,10,0.35473420375416415
23,Hierarchical - average,"{'n_clusters': 10, 'linkage': 'average'}",2,74,10,0.37977809656981815
24,Hierarchical - single,"{'n_clusters': 10, 'linkage': 'single'}",2,140,10,0.33549363818916306
25,Hierarchical - ward,"{'n_clusters': 11, 'linkage': 'ward'}",11,42,11,0.45612711528170224
26,Hierarchical - complete,"{'n_clusters': 11, 'linkage': 'complete'}",4,70,11,0.4024724790006419
