,child
0,BR2-IKB103-D
1,BR2-IKB103-K
2,BR2-IKB105
3,BR2-IKB902
4,BR2-IKB902-1
5,BR2-IKB903
6,BR2-IKW102-D-A
7,BR2-IKW102-K-A
8,BR2-IKW103-D
9,BR2-IKW103-D-A
10,BR2-IKW103-K
11,BR2-IKW103-K-A
12,BR2-IKW105
13,BR2-IKW106-D-A
14,BR2-IKW106-K-A
15,BR2-IKW301-A
16,BR2-IKW701-A
17,BR2-IKW702-A
18,BR2-IKW901
19,BR2-IKW902
20,BR2-IKW902-1
21,BR2-IKW902-A
22,BR2-IKW903
23,BR2-IKW903-A
24,BR2-IRC122
25,BR2-IRC122-A
26,BR2-IRO122
27,BR2-IRO122-A
28,BR3-IKB103-D
29,BR3-IKB103-K
30,BR3-IKB105
31,BR3-IKB202
32,BR3-IKB203
33,BR3-IKB204
34,BR3-IKW103-D
35,BR3-IKW103-D-A
36,BR3-IKW103-K
37,BR3-IKW103-K-A
38,BR3-IKW105
39,BR3-IKW202
40,BR3-IKW202-A
41,BR3-IKW203
42,BR3-IKW204
43,BR3-IKW204-A
44,BR3-IRC113-D
45,BR3-IRC113-K
46,BR3-IRC114-D
47,BR3-IRC114-K
48,BR3-IRC115-D
49,BR3-IRC115-K
50,BR3-IRC116-D
51,BR3-IRC116-K
52,BR3-IRC117
53,BR3-IRC118-D
54,BR3-IRC118-K
55,BR3-IRC119
56,BR3-IRC120-D
57,BR3-IRC120-K
58,BR3-IRC121
59,BR3-IRC209
60,BR3-IRC210
61,BR3-IRC211
62,BR3-IRC212
63,BR3-IRC213
64,BR3-IRC214
65,BR3-IRC309
66,BR3-IRC310
67,BR3-IRC311
68,BR3-IRC313
69,BR3-IRC405
70,BR3-IRC406
71,BR3-IRC407
72,BR3-IRC706
73,BR3-IRC912
74,BR3-IRO113-D
75,BR3-IRO113-K
76,BR3-IRO114-D
77,BR3-IRO114-K
78,BR3-IRO115-D
79,BR3-IRO115-K
80,BR3-IRO116-D
81,BR3-IRO116-K
82,BR3-IRO117
83,BR3-IRO118-D
84,BR3-IRO118-K
85,BR3-IRO119
86,BR3-IRO120-D
87,BR3-IRO120-K
88,BR3-IRO121
89,BR3-IRO122-A
90,BR3-IRO209
91,BR3-IRO210
92,BR3-IRO211
93,BR3-IRO212
94,BR3-IRO213
95,BR3-IRO214
96,BR3-IRO214-A
97,BR3-IRO215
98,BR3-IRO215-A
99,BR3-IRO309
100,BR3-IRO310
101,BR3-IRO311
102,BR3-IRO313
103,BR3-IRO313-A
104,BR3-IRO405
105,BR3-IRO406
106,BR3-IRO407
107,BR3-IRO412-A
108,BR3-IRO706
109,BR3-IRO706-A
110,BR3-IRO912
111,BR3-ISC101-D
112,BR3-ISC101-K
113,BR3-ISC102
114,BR3-ISC103
115,BR3-ISC106-D
116,BR3-ISC106-K
117,BR3-ISC107
118,BR3-ISC108-D
119,BR3-ISC108-K
120,BR3-ISC109-D
121,BR3-ISC109-K
122,BR3-ISC110
123,BR3-ISC111-D
124,BR3-ISC111-K
125,BR3-ISC112
126,BR3-ISC113-D
127,BR3-ISC113-K
128,BR3-ISC201
129,BR3-ISC202
130,BR3-ISC203
131,BR3-ISC204
132,BR3-ISC205
133,BR3-ISC206
134,BR3-ISC207
135,BR3-ISC208
136,BR3-ISC209
137,BR3-ISC210
138,BR3-ISC301
139,BR3-ISC302
140,BR3-ISC303
141,BR3-ISC304
142,BR3-ISC305
143,BR3-ISC306
144,BR3-ISC307
145,BR3-ISC401
146,BR3-ISC604
147,BR3-ISC610
148,BR3-ISC613
149,BR3-ISC628
150,BR3-ISC701
151,BR3-ISC702
152,BR3-ISC703
153,BR3-ISC704
154,BR3-ISC902
155,BR3-ISC903
156,BR3-ISC904
157,BR3-ISW101-D
158,BR3-ISW101-K
159,BR3-ISW102
160,BR3-ISW103
161,BR3-ISW106-D
162,BR3-ISW106-K
163,BR3-ISW107
164,BR3-ISW108-D
165,BR3-ISW108-K
166,BR3-ISW109-D
167,BR3-ISW109-K
168,BR3-ISW110
169,BR3-ISW111-D
170,BR3-ISW111-K
171,BR3-ISW112
172,BR3-ISW113-D
173,BR3-ISW113-K
174,BR3-ISW201
175,BR3-ISW202
176,BR3-ISW203
177,BR3-ISW204
178,BR3-ISW205
179,BR3-ISW206
180,BR3-ISW207
181,BR3-ISW208
182,BR3-ISW209
183,BR3-ISW301
184,BR3-ISW302
185,BR3-ISW303
186,BR3-ISW304
187,BR3-ISW305
188,BR3-ISW306
189,BR3-ISW401
190,BR3-ISW604
191,BR3-ISW610
192,BR3-ISW613
193,BR3-ISW701
194,BR3-ISW702
195,BR3-ISW703
196,BR3-ISW704
197,BR3-ISW902
198,BR3-ISW903
199,BR3-ISW904
200,BR3-ISX704
201,BR3-ITB103-D
202,BR3-ITB103-K
203,BR3-ITB105-D
204,BR3-ITB105-K
205,BR3-ITB106-D
206,BR3-ITB106-K
207,BR3-ITB107
208,BR3-ITB108
209,BR3-ITB201
210,BR3-ITB202
211,BR3-ITB203
212,BR3-ITB204
213,BR3-ITB303
214,BR3-ITB403
215,BR3-ITB404
216,BR3-ITB405
217,BR3-ITW103-D
218,BR3-ITW103-K
219,BR3-ITW105-D
220,BR3-ITW105-K
221,BR3-ITW106-D
222,BR3-ITW106-K
223,BR3-ITW107
224,BR3-ITW108
225,BR3-ITW201
226,BR3-ITW202
227,BR3-ITW203
228,BR3-ITW204
229,BR3-ITW303
230,BR3-ITW403
231,BR3-ITW404
232,BR3-ITW405
233,BR3-ITW703
234,BR4-IRO706-A
