,Estimated number of clusters,Parameters,Silhouette Coefficient
0,575,"{'eps': 0.1, 'min_samples': 1}",0.4399569049880678
1,145,"{'eps': 0.1, 'min_samples': 2}",0.1418996639334392
2,45,"{'eps': 0.1, 'min_samples': 3}",-0.20838726658351103
3,25,"{'eps': 0.1, 'min_samples': 4}",-0.24633367464245084
4,5,"{'eps': 0.1, 'min_samples': 5}",-0.2647135749728757
5,0,"{'eps': 0.1, 'min_samples': 6}",-1.0
6,0,"{'eps': 0.1, 'min_samples': 7}",-1.0
7,0,"{'eps': 0.1, 'min_samples': 8}",-1.0
8,0,"{'eps': 0.1, 'min_samples': 9}",-1.0
9,0,"{'eps': 0.1, 'min_samples': 10}",-1.0
10,0,"{'eps': 0.1, 'min_samples': 11}",-1.0
11,0,"{'eps': 0.1, 'min_samples': 12}",-1.0
12,0,"{'eps': 0.1, 'min_samples': 13}",-1.0
13,0,"{'eps': 0.1, 'min_samples': 14}",-1.0
14,0,"{'eps': 0.1, 'min_samples': 15}",-1.0
15,0,"{'eps': 0.1, 'min_samples': 16}",-1.0
16,0,"{'eps': 0.1, 'min_samples': 17}",-1.0
17,0,"{'eps': 0.1, 'min_samples': 18}",-1.0
18,0,"{'eps': 0.1, 'min_samples': 19}",-1.0
19,0,"{'eps': 0.1, 'min_samples': 20}",-1.0
20,520,"{'eps': 0.2, 'min_samples': 1}",0.45953431627042535
21,150,"{'eps': 0.2, 'min_samples': 2}",0.209667593546922
22,60,"{'eps': 0.2, 'min_samples': 3}",-0.09237866053814339
23,35,"{'eps': 0.2, 'min_samples': 4}",-0.14840790814208776
24,10,"{'eps': 0.2, 'min_samples': 5}",-0.2428471913668157
25,5,"{'eps': 0.2, 'min_samples': 6}",-0.2165738579354794
26,5,"{'eps': 0.2, 'min_samples': 7}",-0.2165738579354794
27,5,"{'eps': 0.2, 'min_samples': 8}",-0.2165738579354794
28,5,"{'eps': 0.2, 'min_samples': 9}",-0.2165738579354794
29,0,"{'eps': 0.2, 'min_samples': 10}",-1.0
30,0,"{'eps': 0.2, 'min_samples': 11}",-1.0
31,0,"{'eps': 0.2, 'min_samples': 12}",-1.0
32,0,"{'eps': 0.2, 'min_samples': 13}",-1.0
33,0,"{'eps': 0.2, 'min_samples': 14}",-1.0
34,0,"{'eps': 0.2, 'min_samples': 15}",-1.0
35,0,"{'eps': 0.2, 'min_samples': 16}",-1.0
36,0,"{'eps': 0.2, 'min_samples': 17}",-1.0
37,0,"{'eps': 0.2, 'min_samples': 18}",-1.0
38,0,"{'eps': 0.2, 'min_samples': 19}",-1.0
39,0,"{'eps': 0.2, 'min_samples': 20}",-1.0
40,475,"{'eps': 0.30000000000000004, 'min_samples': 1}",0.5054449971300512
41,170,"{'eps': 0.30000000000000004, 'min_samples': 2}",0.29572928852835023
42,65,"{'eps': 0.30000000000000004, 'min_samples': 3}",-0.04500146558488349
43,50,"{'eps': 0.30000000000000004, 'min_samples': 4}",-0.11763596575709956
44,15,"{'eps': 0.30000000000000004, 'min_samples': 5}",-0.26127326577391846
45,5,"{'eps': 0.30000000000000004, 'min_samples': 6}",-0.2165738579354794
46,5,"{'eps': 0.30000000000000004, 'min_samples': 7}",-0.2165738579354794
47,5,"{'eps': 0.30000000000000004, 'min_samples': 8}",-0.2165738579354794
48,5,"{'eps': 0.30000000000000004, 'min_samples': 9}",-0.2165738579354794
49,0,"{'eps': 0.30000000000000004, 'min_samples': 10}",-1.0
50,0,"{'eps': 0.30000000000000004, 'min_samples': 11}",-1.0
51,0,"{'eps': 0.30000000000000004, 'min_samples': 12}",-1.0
52,0,"{'eps': 0.30000000000000004, 'min_samples': 13}",-1.0
53,0,"{'eps': 0.30000000000000004, 'min_samples': 14}",-1.0
54,0,"{'eps': 0.30000000000000004, 'min_samples': 15}",-1.0
55,0,"{'eps': 0.30000000000000004, 'min_samples': 16}",-1.0
56,0,"{'eps': 0.30000000000000004, 'min_samples': 17}",-1.0
57,0,"{'eps': 0.30000000000000004, 'min_samples': 18}",-1.0
58,0,"{'eps': 0.30000000000000004, 'min_samples': 19}",-1.0
59,0,"{'eps': 0.30000000000000004, 'min_samples': 20}",-1.0
60,445,"{'eps': 0.4, 'min_samples': 1}",0.5173732279579957
61,175,"{'eps': 0.4, 'min_samples': 2}",0.3573808993228822
62,65,"{'eps': 0.4, 'min_samples': 3}",0.012375696816867577
63,45,"{'eps': 0.4, 'min_samples': 4}",-0.07996328293648113
64,15,"{'eps': 0.4, 'min_samples': 5}",-0.20997515644678957
65,15,"{'eps': 0.4, 'min_samples': 6}",-0.20997515644678957
66,10,"{'eps': 0.4, 'min_samples': 7}",-0.23778238404927912
67,10,"{'eps': 0.4, 'min_samples': 8}",-0.23778238404927912
68,10,"{'eps': 0.4, 'min_samples': 9}",-0.23778238404927912
69,5,"{'eps': 0.4, 'min_samples': 10}",-0.2096020500222965
70,0,"{'eps': 0.4, 'min_samples': 11}",-1.0
71,0,"{'eps': 0.4, 'min_samples': 12}",-1.0
